Date,WY
1999-04-01,10.042237281799316
1999-05-01,9.322190284729004
1999-06-01,10.326691627502441
1999-07-01,9.77601432800293
1999-08-01,8.500882148742676
1999-09-01,8.708677291870117
1999-10-01,9.085638046264648
1999-11-01,9.32348346710205
1999-12-01,10.931310653686523
2000-01-01,8.794086456298828
2000-02-01,7.864862442016602
2000-03-01,8.736605644226074
2000-04-01,8.180987358093262
2000-05-01,7.663108825683594
2000-06-01,6.640073776245117
2000-07-01,7.115800857543945
2000-08-01,7.215576171875
2000-09-01,6.317584037780762
2000-10-01,7.310486316680908
2000-11-01,6.872600555419922
2000-12-01,7.9722185134887695
2001-01-01,8.311018943786621
2001-02-01,8.507318496704102
2001-03-01,8.040318489074707
2001-04-01,8.948984146118164
2001-05-01,9.120763778686523
2001-06-01,8.763646125793457
2001-07-01,9.522523880004883
2001-08-01,9.108426094055176
2001-09-01,7.818004608154297
2001-10-01,8.074199676513672
2001-11-01,8.549821853637695
2001-12-01,8.748804092407227
2002-01-01,9.500656127929688
2002-02-01,10.070833206176758
2002-03-01,10.240260124206543
2002-04-01,9.710811614990234
2002-05-01,10.742409706115723
2002-06-01,10.471797943115234
2002-07-01,9.701896667480469
2002-08-01,9.001710891723633
2002-09-01,7.228120803833008
2002-10-01,7.545592308044434
2002-11-01,8.761548042297363
2002-12-01,8.196880340576172
2003-01-01,8.06962776184082
2003-02-01,8.371923446655273
2003-03-01,8.032685279846191
2003-04-01,8.395400047302246
2003-05-01,8.529139518737793
2003-06-01,9.141993522644043
2003-07-01,9.5975923538208
2003-08-01,10.144904136657715
2003-09-01,9.965875625610352
2003-10-01,10.339027404785156
2003-11-01,9.784571647644043
2003-12-01,10.986183166503906
2004-01-01,10.618128776550293
2004-02-01,11.272902488708496
2004-03-01,11.316094398498535
2004-04-01,10.291351318359375
2004-05-01,10.513862609863281
2004-06-01,10.972804069519043
2004-07-01,10.847716331481934
2004-08-01,10.936949729919434
2004-09-01,11.63155460357666
2004-10-01,11.030858039855957
2004-11-01,11.622552871704102
2004-12-01,11.837403297424316
2005-01-01,10.988601684570312
2005-02-01,11.861882209777832
2005-03-01,12.140132904052734
2005-04-01,12.159624099731445
2005-05-01,11.453691482543945
2005-06-01,11.364420890808105
2005-07-01,12.316070556640625
2005-08-01,11.694523811340332
2005-09-01,12.365409851074219
2005-10-01,11.392359733581543
2005-11-01,12.022005081176758
2005-12-01,12.027443885803223
2006-01-01,12.647490501403809
2006-02-01,12.470361709594727
2006-03-01,13.226353645324707
